name,SMILES
ZINC000006725485,CC(C)c1ccc(NC(=O)CN2CCCCC2)cc1
ZINC000007577301,c1ccc(CSc2nnc(NC3CC3)s2)cc1
ZINC000072157396,CC(C)c1noc([C@H](C)n2ccnc2C(C)(C)C)n1
ZINC000008077890,O=C(CCc1cccnc1)N[C@@H]2CCCc3ccccc32
ZINC000077286808,Cc1ccc(CN(C)Cc2cc(-c3cccnc3)no2)o1
ZINC000044698323,Cc1cccc(C(=O)N(Cc2ccco2)C3CC3)c1
ZINC000015662384,C[C@@H]1CCCC[C@H]1NC(=O)[C@@H]2Cc3cc(Cl)ccc3O2
ZINC000007981348,COc1ccccc1CCNc2ncnc3sccc23
ZINC000007525418,Cc1ccc(NC(=O)CCc2c(C)noc2C)cc1F
ZINC000006742495,CCOc1ccc(NC(=O)NCc2ccccc2)cc1
ZINC000006703472,CN(C)c1ccc(NC(=O)NCc2ccccc2)cc1
ZINC000007915079,Cc1ccc(NC(=O)CCc2cccnc2)c(C)c1
ZINC000072206882,CC(C)(C)OC(=O)N1Cc2cnc(C(C)(C)C)nc2C1
ZINC000040478755,S=c1cc(NCc2ccccc2Cl)nc[nH]1
ZINC000005183454,CCOC(=O)c1sc(-c2ccc(OC)cc2)nc1C
ZINC000040478756,S=c1cc(NCc2ccc(Cl)cc2)nc[nH]1
ZINC000071922438,CC(C)c1noc([C@H](C)Oc2ccccc2F)n1
ZINC000008685286,CCCCc1c(C)nc(Nc2ccc(OC)cc2)[nH]c1=O
ZINC000032908915,O=c1cc(Oc2ccc(F)cc2)nc3ccc(Cl)cn13
ZINC000239222104,C[C@H]1C[C@@H](C)CN(C(=O)[C@H]2C[C@H]2c3ccccc3)C1
ZINC000006886602,O=C(/C=C/c1ccccc1Cl)OCC(=O)c2ccc[nH]2
ZINC000137044833,NCC(F)(F)c1ccc(Br)cc1Cl
ZINC000071922437,CC(C)c1noc([C@@H](C)Oc2ccccc2F)n1
ZINC000040468633,COc1ccc(CN(Cc2cc(C)no2)C3CC3)cc1
ZINC000007147466,COc1cc(C(=O)OCc2ccccc2C#N)ccc1C
ZINC000009047186,Fc1ccc2ncn3c(Cc4cccs4)nnc3c2c1
ZINC000534674650,CC[C@H](NC(=O)c1cccc2c1CCC2=O)c3cccnc3
ZINC000008782307,CCn1cc([C@@H]2C[C@H](C(F)(F)F)n3nccc3N2)c(C)n1
ZINC000071831376,CCCCN(C(=O)c1ccc2c(c1)OCCO2)[C@@H](C)CC
ZINC000006744096,Cc1cccc(-c2noc(C(=O)NCc3cccs3)n2)c1
ZINC000007943322,O=C(NCc1ccccc1)c2ccc(Cl)cc2F
ZINC000008190064,CN(C)c1ccc(C(=O)OCc2nc3ccccc3o2)cc1
ZINC000006700862,O=C(NC(=O)N1CCCCCC1)c2ccc(Cl)cc2
ZINC000039325751,CC(C)(C)c1cn2ccc(Br)cc2n1
ZINC000044682531,CC(C)[C@@H](NC(=O)[C@H](C)n1cccn1)c2cccs2
ZINC000007027717,CCC[C@H](C)NC(=O)CSc1ccc(NC(C)=O)cc1
ZINC000007027714,CCC[C@@H](C)NC(=O)CSc1ccc(NC(C)=O)cc1
ZINC000040494021,Fc1cc(F)cc(NCc2nc(-c3ccco3)no2)c1
ZINC000009187389,O=c1oc2ccc(O)cc2cc1-c3nc4ccccc4[nH]3
ZINC000006715719,CCOc1ccc(NC(=O)N[C@@H](C)c2ccncc2)cc1
ZINC000006715718,CCOc1ccc(NC(=O)Nc2ncccc2C)cc1
ZINC000008119018,C[C@H](C(=O)Nc1ccc(C#N)c(Cl)c1)N2CCCCC2
ZINC000006940420,O=C(CSC1CCCC1)Nc2ccc3c(c2)OCCO3
ZINC000071920874,N#Cc1cc(F)c(N[C@@H](CCO)c2cccs2)c(F)c1
ZINC000008119017,C[C@@H](C(=O)Nc1ccc(C#N)c(Cl)c1)N2CCCCC2
ZINC000071920873,N#Cc1cc(F)c(N[C@H](CCO)c2cccs2)c(F)c1
ZINC000020996751,OCCCn1ccc(-c2cccc(-c3ccncc3F)c2)n1
ZINC000006731859,COc1ccc(NC(=O)N2CCc3ccccc32)c(OC)c1
ZINC000008723310,C[C@@H](Oc1cccc(Cl)c1)C(=O)Nc2cccc(O)c2
ZINC000534584181,C[C@@H](NC(=O)N1CC(c2ccncc2)C1)C3=CCCCC3
ZINC000534584182,C[C@H](NC(=O)N1CC(c2ccncc2)C1)C3=CCCCC3
ZINC000072290843,CCc1nc(CN2C[C@H](c3ccc(F)cc3)C[C@@H]2C)no1
ZINC000006942484,CCOc1ccc(-c2cc(C(=O)N3CCCCC3)[nH]n2)cc1
ZINC000006726909,O=C(NCc1ccc(F)cc1)Nc2ccc(F)cc2F
ZINC000007911950,O=[N+]([O-])c1ccc(S(=O)(=O)/C=C/c2ccccc2)cc1
ZINC000215013799,O=C(CC1CCCC1)NCc2ccc3ccccc3n2
ZINC000045038528,Cc1cc(C(=O)c2ccc(OC(C)C)cc2)ccn1
ZINC000071662383,Cc1cc(C2CCC2)nc(NCCc3scnc3C)n1
ZINC000006820821,COc1ccc(NC(=O)c2ccc(CSC)cc2)cn1
ZINC000040525325,Cc1nc(CCNC(=O)Nc2ccccc2C)cs1
ZINC000040493795,COc1cccc([C@H]2CCCN2Cc3nc(C4CC4)no3)c1
ZINC000040493793,COc1cccc([C@@H]2CCCN2Cc3nc(C4CC4)no3)c1
ZINC000071748881,O=C(C1CC1)N2CCC[C@H](CCc3ccc(F)cc3)C2
ZINC000071748880,O=C(C1CC1)N2CCC[C@@H](CCc3ccc(F)cc3)C2
ZINC000000066589,C[C@H](O)CNc1ncnc2scc(-c3ccccc3)c12
ZINC000007968310,O=C(Nc1ccc(F)c(F)c1F)c2cccs2
ZINC000018182207,Cc1ccccc1N2C(=O)[C@H]3CC=C(Cl)C[C@@H]3C2=O
ZINC000006697320,COc1ccc(-c2noc(CC(C)(C)C)n2)cc1OC
ZINC000040473900,CCOc1ccc([C@H]2CCCN2C(=O)c3ccncc3)cc1
ZINC000065339575,O=c1ccc(-c2ccc(F)c(C(F)(F)F)c2)c[nH]1
ZINC000044897028,CCc1noc(CN2CCC[C@@H]2c3cccs3)n1
ZINC000006699103,Cc1cccc(NC(=O)c2ccc(F)cc2Cl)n1
ZINC000008269819,N#Cc1cccc(NC(=O)CCc2ccccc2F)c1
ZINC000072164188,COc1ccc(OC)c(-c2ccnc3[nH]ccc23)c1
ZINC000002584288,COc1c(Br)cc(F)cc1Br
ZINC000071751177,CCCCc1nc(Cl)c(-c2nccn2[C@H](C)COC)[nH]1
ZINC000071751176,CCCCc1nc(Cl)c(-c2nccn2[C@@H](C)COC)[nH]1
ZINC000005728901,O=C(Nc1ccc(F)cc1)c2cn3cc(Cl)ccc3n2
ZINC000000109903,O=[N+]([O-])c1cc(C(F)(F)F)cc2c1nc3ccccn32
ZINC000072240165,CCOc1cc(C(=O)N2CCCCC2)cc3occc13
ZINC000007846676,CN(CC(=O)Nc1ccc(Cl)cc1)Cc2cccs2
ZINC000000173753,O=CN[C@@H]1CCCc2c1[nH]c3ccc(Br)cc23
ZINC000006880724,Cc1cc(OC(=O)c2cccs2)n(-c3ccccc3)n1
ZINC000000173750,O=CN[C@H]1CCCc2c1[nH]c3ccc(Br)cc23
ZINC000044914197,COCCN(Cc1ccco1)Cc2nc3ccccc3o2
ZINC000008221818,CC(=O)Nc1ccc(OCc2cc(-c3ccco3)on2)cc1
ZINC000008394348,CCCCSc1nc2c3ccccc3ncn2n1
ZINC000071978380,Cc1ccsc1-c2cc(-c3ccco3)nc(N)n2
ZINC000007806071,Cc1ccccc1NC(=O)CN(C)Cc2ccsc2
ZINC000008720343,COc1ccc(OCCNc2ccc(C#N)cc2)cc1
ZINC000071978387,Cc1ccc(-c2cc(-c3ccco3)nc(N)n2)s1
ZINC000071978386,COc1cccc(-c2cc(-c3ccco3)nc(N)n2)c1OC
ZINC000534650462,C[C@]1(C(=O)NC2(c3cccc(Cl)c3)CC2)CCCCO1
ZINC000006699813,COc1ccc([C@@H](C)NC(=O)Cc2ccccc2OC)cc1
ZINC000006699812,COc1ccc([C@H](C)NC(=O)Cc2ccccc2OC)cc1
ZINC000006700482,CCCCS(=O)(=O)Nc1cc(Cl)ccc1C
ZINC000006953560,Cc1ccccc1C(=O)Oc2ccc(-n3ccnc3)cc2
ZINC000006926228,N#Cc1ccc(NC(=O)Nc2ccc(F)cc2)cc1
ZINC000021785083,Cc1cccc(OCCNC(=O)c2ccccc2C)c1
ZINC000072292737,N#Cc1ccc(NC(=O)/C=C/c2cccs2)cc1C#N
ZINC000096137977,Cc1cc(-c2ccc(F)cc2Cl)cnc1-n3cnnc3
ZINC000040490261,c1ccc(-n2ncc3c(Oc4cccnc4)ncnc32)cc1
ZINC000021164194,CC(=O)N1CC=C(c2c(C)[nH]c3ccccc23)CC1
ZINC000045250309,CN(Cc1ccc(C#N)cc1)C(=O)CC2CCCCC2
ZINC000044691744,CCNC(=O)c1ccc(C)c(NC(=O)C[C@H]2C=CCC2)c1
ZINC000044691747,CCNC(=O)c1ccc(C)c(NC(=O)C[C@@H]2C=CCC2)c1
ZINC000007115444,C[C@H](CNC(=O)CN(C)c1ccccc1)c2ccccc2
ZINC000008013581,CC(C)COC(=O)N[C@H](C)c1ccc(-n2ccnc2)cc1
ZINC000003900963,O=C1[C@H]2[C@H]3C=C[C@H](CC3)[C@H]2C(=O)N1c4ccccc4Cl
ZINC000007971607,Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1F
ZINC000003900965,O=C1[C@H]2[C@@H]3C=C[C@H](CC3)[C@H]2C(=O)N1c4cccc(Cl)c4
ZINC000008097397,Cc1ccc(CN(C)C(=O)c2ccc(C#N)cc2)c(C)c1
ZINC000008737657,CCC(=O)N(C[C@H]1CCCO1)c2nc3ccccc3s2
ZINC000021870995,O=C(c1ccc(-c2ccc(F)cc2)s1)N3CCOCC3
ZINC000037500196,CCOCc1ccccc1CNc2ncccc2[N+](=O)[O-]
ZINC000007737627,Cc1noc(C)c1CCC(=O)Nc2cccc3cccnc23
ZINC000534664030,CCc1nc(C)c(CNC(=O)c2csc(C)c2)s1
ZINC000044873891,Cc1nnc(NC(=O)c2occc2-c3ccccc3)s1
ZINC000007405056,Cc1ccc(C)c(S(=O)(=O)Nc2ccc(F)cc2F)c1
ZINC000008071639,COc1ccc(C)cc1CC(=O)Nc2ccccc2F
ZINC000004237876,O=Cc1c(-c2ccc3c(c2)CCCC3)nc4ncccn14
ZINC000006729811,COc1ccc([C@@H](C)NC(=O)Cc2ccccc2F)cc1
ZINC000040465484,O=C(NCCCOC1CCCCC1)C2CCCC2
ZINC000095474890,O=C1CS[C@H](C2=Cc3ccccc3OC2)c4c[nH]nc4N1
ZINC000095474891,O=C1CS[C@@H](C2=Cc3ccccc3OC2)c4c[nH]nc4N1
ZINC000037502182,N#Cc1cccc(CNc2ncnc3ccccc23)c1
ZINC000040541732,Cc1ccc(CNC(=O)[C@]2(C)CC2(Cl)Cl)s1
ZINC000040541734,Cc1ccc(CNC(=O)[C@@]2(C)CC2(Cl)Cl)s1
ZINC000130183503,Nc1cc2ccc(Br)cc2nc1Cl
ZINC000008882651,O=C1CC2(CCCC2)C(=O)N1Cc3ccc(Cl)cc3
ZINC000008725446,CSCC(=O)Nc1ccc2c(c1)nc3n2CCCCC3
ZINC000007608138,Cc1ccc(C)c(NC(=O)[C@H]2CC2(Cl)Cl)c1
ZINC000007724276,CCc1ccccc1NC(=O)COc2ccccc2F
ZINC000043828191,O=Cc1c(Cl)[nH]c2cc(Br)ccc12
ZINC000008701344,CC(C)OC(=O)Cn1c(C(F)(F)F)nc2ccccc21
ZINC000009063943,COc1ccc(C(=O)NC2CCCCCC2)cc1C
ZINC000008734214,CC1CCN(Cn2[nH]c(-c3ccccc3)nc2=S)CC1
ZINC000044842021,Cc1ccc(-n2cc(-c3ccccc3)[nH]c2=O)cc1
ZINC000040542424,Cc1ccc(OCCCCNC(=O)c2ccco2)cc1
ZINC000009155280,COc1cccc(Nc2nnc(SC)s2)c1
ZINC000040542422,Cc1ccc(OCCCCNC(=O)c2ccoc2)cc1
ZINC000000157261,Nc1c(Br)cc(Cl)cc1Br
ZINC000000157260,Nc1c(Cl)cc(Br)cc1Br
ZINC000077291843,c1ccc2c(c1)CC[C@@H]2Nc3ncnc4[nH]ccc34
ZINC000071830163,COc1cccc(CC(=O)OC[C@H]2CC=CC[C@@H]2C)c1
ZINC000035636609,CC(C)(C)OC(=O)N1CC=CC[C@@H]1c2cccnc2
ZINC000071830161,COc1cccc(CC(=O)OC[C@H]2CC=CC[C@H]2C)c1
ZINC000071830167,COc1cccc(CC(=O)OC[C@@H]2CC=CC[C@@H]2C)c1
ZINC000071830165,COc1cccc(CC(=O)OC[C@@H]2CC=CC[C@H]2C)c1
ZINC000020539375,C[C@@H](NC(=O)NC1CC1)c2ccc3ccccc3c2
ZINC000075105321,Cc1c(C(=O)Nc2ccc(F)cc2)c(=O)oc3ccccc13
ZINC000012389492,C[C@H]1C[C@@H](C)C[N@@H+]([C@H](C(=O)O)c2c[nH]c3ccccc23)C1
ZINC000007750362,Cc1cc(F)ccc1NC(=O)[C@H](C)Oc2ccc(C#N)cc2
ZINC000012389491,C[C@H]1C[C@@H](C)C[N@@H+]([C@@H](C(=O)O)c2c[nH]c3ccccc23)C1
ZINC000008942116,COc1ccccc1NC(=O)CCc2cccs2
ZINC000359163930,CCC[C@@H](CC)S(=O)(=O)Cc1ccc(C#N)cc1
ZINC000008715463,C(=C\c1nn2c(-c3ccncc3)nnc2s1)\c4ccco4
ZINC000071883801,Cc1cn(-c2ccccc2)nc1NC(=O)N3CCC[C@@H](C)C3
ZINC000071883800,Cc1cn(-c2ccccc2)nc1NC(=O)N3CCC[C@H](C)C3
ZINC000006786898,CN1CC(=O)N(c2ccc(Oc3ccccc3)cc2)C1=S
ZINC000008240176,CC(=O)Nc1ccccc1OCCCOc2ccccc2
ZINC000328588739,NC(=O)N1CCC[C@@H]1C[C@H]2CCCc3ccccc32
ZINC000007972008,COc1ccccc1NC(=O)CNc2ccc(Cl)cc2
ZINC000007912636,Cc1ccnn1-c2ccc(C(=O)N3CCCCCC3)cc2
ZINC000000071729,CCOC(=O)c1cc2cc(Cl)cc(Cl)c2oc1=O
ZINC000263714138,c1nc(NCCCOC2CCCCC2)c3cc[nH]c3n1
ZINC000040528267,CCc1noc(CN2CCC[C@H]2c3ccsc3)n1
ZINC000040528266,CCc1noc(CN2CCC[C@H]2c3ccsc3)n1
ZINC000072414644,CC(C)(C)c1ccc(S(=O)(=O)Oc2ccccn2)cc1
ZINC000040528264,CCCc1noc(CN2CCC[C@@H]2c3ccsc3)n1
ZINC000072209975,CCn1cc(-c2ccc(Br)cc2)cn1
ZINC000072147974,Cc1cccc(OC2CN(Cc3ccc(C)o3)C2)c1
ZINC000008719380,C[C@H](NC(=O)C1CCCCC1)c2ccc(-n3cncn3)cc2
ZINC000008719381,C[C@@H](NC(=O)C1CCCCC1)c2ccc(-n3cncn3)cc2
ZINC000006731538,COc1cccc(NC(=O)Nc2ccc(Cl)cn2)c1
ZINC000007833370,Cc1cc(CSc2n[nH]c(-c3ccccc3)n2)no1
ZINC000007410724,NC(=O)c1ccc(OCc2ncc(-c3ccccc3)o2)cc1
ZINC000006731531,CC[C@H]1CCCCN1C(=O)Nc2ccc(OC)cc2
ZINC000006731530,CC[C@@H]1CCCCN1C(=O)Nc2ccc(OC)cc2
ZINC000007906501,COc1cccc(CNc2cccc(F)c2C#N)c1
ZINC000022126319,Nc1c(-c2ccc(F)cc2)cnn1-c3ccccc3
ZINC000006714284,Cc1cc(C)nc(NC(=O)Nc2ccc3c(c2)OCO3)c1
ZINC000021663316,Cc1ccc(Cc2nnc(-c3cc(N)ccc3F)o2)cc1
ZINC000011034650,CN1c2ccccc2C(=O)N[C@@H]1c3ccc(Cl)s3
ZINC000042765937,CC(C)(C)n1nc(C(=O)Nc2ccccn2)cc1C3CC3
ZINC000040493395,CCC(CC)NC(=O)N(C)Cc1ccc(F)cc1
ZINC000040526711,CC(=O)Nc1cccc(NC(=O)N2C[C@@H](C)C[C@@H](C)C2)c1
ZINC000040526713,CC(=O)Nc1cccc(NC(=O)N2C[C@H](C)C[C@@H](C)C2)c1
ZINC000040526712,CC(=O)Nc1cccc(NC(=O)N2C[C@@H](C)C[C@H](C)C2)c1
ZINC000040526717,CC(=O)Nc1cccc(NC(=O)N(C)Cc2ccccc2)c1
ZINC000040526716,CC(=O)Nc1cccc(NC(=O)N(C)C2CCCCC2)c1
ZINC000040526718,CC(=O)Nc1cccc(NC(=O)N2CCCCCC2)c1
ZINC000006787145,C[C@@H](Oc1ccccc1Cc2ccccc2)C(=O)NC3CC3
ZINC000006787144,C[C@H](Oc1ccccc1Cc2ccccc2)C(=O)NC3CC3
ZINC000071730239,Cc1ccoc1-c2nn3c(Cc4ccccc4)nnc3s2
ZINC000000098470,Cc1ccc2[nH]c(=S)n(-c3ccccc3F)c(=O)c2c1
ZINC000071907606,C[C@H](CC1CCCCC1)C(=O)NCCc2cscn2
ZINC000071772189,O=C1Nc2cccc3c(I)ccc1c23
ZINC000071907605,C[C@@H](CC1CCCCC1)C(=O)NCCc2cscn2
ZINC000040544427,CC(=O)c1cc(Br)ccc1OC(F)F
ZINC000040535142,CCN(Cc1ccc(C#N)cc1F)C(=O)c2cccs2
